#{"t_start": 1714016456.273415, "env_id": null}
r,l,t
-181.674951,79,21.609031
-115.11854,26,21.653032
-99.8,11,21.671091
-109.016209,8,21.684197
-104.6,8,21.698194
-115.787052,31,45.007299
-112.604613,17,45.035816
-102.554387,14,45.05825
-115.121244,16,45.078745
-105.704045,6,45.088912
-120.861187,56,68.454974
-124.985388,66,68.562718
-103.480241,20,68.594635
-97.8,6,68.604606
-106.90736,28,68.649488
-99.2,3,92.463463
-98.590847,18,92.492052
-107.226107,39,92.545194
-100.985162,26,92.585952
-102.6,4,92.596134
-96.579784,25,115.743169
-98.4,6,115.753403
-94.831406,19,115.784007
-96.276699,11,115.796316
-93.360238,21,115.826946
-108.151491,46,139.074974
-98.718842,16,139.100905
-101.576699,11,139.117862
-100.037378,13,139.139802
-113.996549,51,139.21859
-103.264794,36,162.32526
-94.472382,26,162.368531
-103.710724,41,162.448601
-106.683287,56,162.56224
-125.840111,68,162.683807
-91.911614,31,185.886245
-95.973431,16,185.905761
-101.211867,17,185.936296
-99.4,3,185.946473
-97.673512,26,185.987295
-98.499844,12,207.677797
-100.184101,31,207.718621
-95.4657,11,207.739021
-97.5,10,207.749181
-97.904045,7,207.759426
-98.797141,5,231.115569
-98.266717,25,231.154727
-102.191425,24,231.191889
-98.009205,36,231.24816
-110.090607,46,231.332509
